KIC,TIC
757076,122785227
757099,122785244
757137,122785350
757280,122785336
757450,122785299
891901,122679348
891916,122679340
892010,122679267
892107,122679184
892195,122679190
892203,122679367
892376,122785104
892667,122785148
892675,122785092
892678,122785081
892713,122785143
892718,122785063
892738,122784927
892760,122784956
892772,122784970
892828,122785152
892832,122784984
892834,122785127
892882,122784913
892911,137099451
892946,137099445
892977,137099446
892986,137099458
893004,137099441
893033,137099461
893165,137099613
893209,137099385
893210,137099396
893214,137099544
893233,137099653
893234,137099538
893286,137099457
893305,137099568
893383,137099560
893468,137099517
893505,137099577
893507,137099563
893559,137099403
893647,137146190
893676,137146193
893730,137146152
893750,137146100
893940,137146183
893944,137146206
1025494,122679550
1025578,122679611
1025623,122679583
1025816,122679440
1025859,122679547
1025986,122784720
1026032,122784830
1026084,122784892
1026133,122784832
1026146,122784691
1026165,122784751
1026180,122784748
1026255,122784747
1026287,122784860
1026294,122784665
1026309,122784820
1026321,122784654
1026326,122784897
1026328,122784835
1026356,122784753
1026400,122784840
1026452,122784670
1026473,122784849
1026474,122784845
1026475,122784721
1026504,122784745
1026647,137099245
1026669,137099271
1026838,137099264
1026861,137099307
1026895,137099242
1026911,137099140
1026957,137099260
1026992,137099365
1027016,137099151
1027030,137099308
1027110,137099241
1027226,137099100
1027252,137099136
1027277,137099316
1027330,137146262
1027337,137146485
1027338,137146332
1027397,137146293
1027438,137146479
1027536,137146361
1027582,137146338
1027631,137146267
1027696,137146371
1027707,137146441
1027710,137146234
1027740,137146271
1027842,137146477
1027877,137146242
1027900,137146317
1027948,137146307
1028012,137146288
1028018,137146519
1028085,137308103
1028120,137308018
1028201,137308049
1028246,137308137
1028267,137308116
1028354,137308055
1028640,137307965
1028843,137313269
1160655,122674554
1160660,122674597
1160684,122674484
1160789,122679824
1160867,122679754
1160891,122679713
1160919,122679757
1160947,122679902
1160986,122679716
1161092,122679853
1161137,122679828
1161145,122679832
1161315,122784458
1161338,122784448
1161345,122784501
1161402,122784612
1161432,122784551
1161447,122784427
1161491,122784385
1161537,122784437
1161618,122784598
1161620,122784642
1161803,122784595
1161869,122784629
1161908,122784569
1161949,137098889
1161965,137099013
1162036,137098997
1162051,137098952
1162150,137098862
1162181,137099026
1162220,137098842
1162222,137099073
1162339,137098949
1162345,137098942
1162466,137099065
1162467,137099061
1162617,137146761
1162635,137146539
1162715,137146759
1162725,137146792
1162746,137146582
1162784,137146746
1162850,137146745
1162875,137146808
1163090,137146583
1163114,137146665
1163211,137146678
1163235,137146742
1163238,137146770
1163244,137146763
1163248,137146709
1163286,137307870
1163303,137307813
1163333,137307736
1163359,137307775
1163449,137307679
1163453,137307818
1163576,137307634
1163579,137307746
1163621,137307900
1163623,137307707
1163712,137307850
1163943,137307660
1163991,137313442
1163994,137313362
1164071,137313288
1164102,137313405
1164109,137313572
1164207,137313336
1164272,137313487
1164274,137313353
1164301,137313529
1164333,137313360
1164356,137313521
1164363,137313439
1164407,137313535
1164418,137313506
1164571,137313575
1164583,137313507
1164584,137313551
1164590,137313474
1292018,122674150
1292087,122674242
1292147,122674350
1292384,122674197
1292493,122674290
1292498,122674268
1292666,122679928
1292688,122679933
1292763,122680027
1292798,122679989
1292834,122680003
1293031,122679908
1293046,122784271
1293177,122784047
1293261,122784190
1293357,122784092
1293379,122784048
1293393,122784274
1293468,122784042
1293521,122784040
1293563,122784248
1293564,122784218
1293587,122784081
1293667,137098560
1293671,137098624
1293737,137098577
1293743,137098557
1293814,137098561
1293835,137098713
1293861,137098604
1293907,137098682
1293928,137098596
1293946,137098598
1293993,137098710
1294029,137098572
1294088,137098755
1294122,137098794
1294214,137098786
1294229,137098621
1294308,137098697
1294382,137147082
1294385,137146829
1294419,137146993
1294535,137147018
1294567,137147038
1294578,137146971
1294648,137146863
1294649,137146837
1294670,137147024
1294756,137147023
1294869,137147088
1294924,137147009
1294953,137146856
1294997,137307348
1295017,137307354
1295069,137307347
1295162,137307379
1295195,137307428
1295276,137307474
1295289,137307353
1295296,137307598
1295333,137307558
1295375,137307478
1295427,137307488
1295448,137307437
1295475,137307538
1295504,137307518
1295531,137307569
1295546,137307551
1295597,137307391
1295693,137307520
1295737,137313632
1295776,137313881
1295961,137313748
1295980,137313860
1296002,137313592
1296063,137313607
1296068,137313811
1296110,137313785
1296164,137313654
1296179,137313657
1296255,137313818
1296262,137313696
1296281,137313601
1296334,137313685
1296415,137313716
1296491,351052211
1296507,351052232
1296721,351052439
1296787,351052230
1296817,351052070
1296862,351051988
1296984,351052281
1297058,351052191
1297166,137345892
1297263,137345841
1297272,137345961
1297303,137345966
1297347,137345891
1297463,137345949
1297510,137345906
1429092,122515241
1429120,122515280
1429153,122515259
1429261,122515102
1429275,122515191
1429290,122515257
1429337,122515207
1429345,122515307
1429367,122515076
1429375,122515145
1429385,122515068
1429390,122515128
1429426,122515189
1429475,122673998
1429486,122674116
1429497,122673959
1429505,122674049
1429567,122673942
1429575,122673960
1429580,122673920
1429589,122673909
1429626,122674042
1429629,122673926
1429653,122673964
1429729,122674128
1429751,122673886
1429795,122674017
1429893,122674076
1429921,122673947
1429977,122673972
1430118,122673939
1430163,122680392
1430171,122680380
1430199,122680191
1430207,122680165
1430219,122680379
1430227,122680411
1430239,122680362
1430305,122680384
1430330,122680294
1430333,122680357
1430349,122680157
1430353,122680207
1430444,122680311
1430511,122680315
1430590,122680230
1430670,122680179
1430741,122783769
1430810,122783979
1430865,122783838
1430880,122783915
1430893,122783840
1430912,122783908
1430977,122783890
1430985,122783835
1431059,122783965
1431060,122783935
1431075,122783950
1431091,122783830
1431114,122783823
1431116,122783874
1431122,122783866
1431134,122783944
1431181,122783997
1431262,137098492
1431287,137098333
1431316,137098505
1431344,137098527
1431379,137098385
1431381,137098410
1431474,137098357
1431501,137098461
1431502,137098439
1431567,137098296
1431599,137098303
1431693,137098446
1431705,137098323
1431727,137098409
1431791,137098413
1431794,137098539
1431845,137098406
1431965,137147324
1432022,137147136
1432047,137147128
1432060,137147282
1432086,137147104
1432091,137147384
1432149,137147383
1432184,137147157
1432214,137147304
1432248,137147159
1432278,137147165
1432469,137147365
1432551,137147273
1432587,137147146
1432685,137307306
1432700,137307198
1432735,137307312
1432745,137307143
1432789,137307173
1432825,137307233
1432847,137307142
1432865,137307313
1432907,137307079
1432934,137307318
1432978,137307148
1432979,137307176
1433040,137307302
1433067,137307239
1433104,137307227
1433132,137307336
1433399,137313995
1433410,137314103
1433477,137313943
1433498,137313892
1433510,137313916
1433531,137314087
1433534,137314011
1433586,137313958
1433593,137314076
1433622,137314097
1433628,137313991
1433642,137314025
1433714,137314100
1433725,137313988
1433730,137314017
1433755,137313983
1433760,137313900
1433803,137313986
1433894,137314135
1433899,137313981
1433962,137314144
1433972,137313917
1433980,137314140
1433989,137314096
1434013,351052899
1434116,351052596
1434231,351052876
1434259,351052534
1434277,351052825
1434286,351052508
1434288,351052526
1434326,351052903
1434372,351052638
1434395,351052760
1434397,351052610
1434455,351052888
1434522,351052559
1434591,351052877
1434610,351052782
1434660,351052646
1434696,137346093
1434708,137346041
1434792,137345987
1434800,137346095
1434976,137346055
1435008,137346162
1435038,137346002
1435108,137346145
1435143,137346083
1435158,137346168
1435229,137346026
1435260,137346156
1435272,137346036
1435448,137488701
1435467,137488698
1435573,137488602
1435632,137488789
1435717,137488773
1435736,137488664
1435818,137488725
1435836,137488611
1435930,137488628
1435987,137488658
1436132,137488606
1436140,137488594
1436265,137496578
1569599,122508651
1569682,122515476
1569743,122515485
1569746,122515541
1569792,122515417
1569822,122515397
1569823,122515538
1569842,122515501
1569843,122515473
1569863,122515408
1569897,122515392
1569909,122515377
1569924,122515548
1569969,122515513
1569974,122515364
1569983,122515502
1569985,122515461
1569986,122515503
1569999,122515412
1570023,122515492
1570026,122515370
1570099,122515406
1570150,122515401
1570172,122515468
1570191,122515509
1570221,122515314
1570253,122515561
1570270,122515523
1570275,122515525
1570311,122515394
1570349,122673857
1570366,122673665
1570400,122673837
1570466,122673760
1570529,122673750
1570552,122673694
1570554,122673733
1570608,122673757
1570617,122673692
1570649,122673778
1570703,122673755
1570711,122673629
1570713,122673747
1570915,122673730
1570918,122673635
1570924,122673809
1570994,122680461
1571003,122680697
1571088,122680425
1571152,122680608
1571237,122680702
1571298,122680537
1571340,122680510
1571364,122680574
1571511,122680701
1571717,122783725
1571732,122783728
1571780,122783488
1572038,122783550
1572049,122783520
1572114,122783534
1572156,122783494
1572175,122783740
1572201,122783670
1572220,122783496
1572222,122783635
1572317,137098079
1572353,137098129
1572418,137098204
1572433,137098199
1572463,137098047
1572558,137098165
1572685,137098114
1572725,137098203
1572768,137098226
1572780,137098197
1572802,137098150
1572851,137098213
1572895,137098124
1572910,137098219
1572948,137147458
1572999,137147493
1573013,137147548
1573064,137147406
1573094,137147509
1573138,137147399
1573149,137147531
1573174,137147540
1573398,137147422
1573478,137147528
1573666,137147622
1573742,137307075
1573836,137306873
1573867,137307059
1573872,137306984
1573876,137306868
1573925,137307013
1573954,137307047
1573967,137306879
1574033,137306840
1574272,137306969
1574306,137306995
1574361,137306960
1574376,137306992
1574521,137314253
1574524,137314331
1574646,137314188
1574792,137314382
1574944,137314204
1575203,351053035
1575206,351053208
1575422,351053061
1575424,351053112
1575570,351053268
1575580,351053243
1575672,351053219
1575690,351053330
1575851,351053381
1575855,351052926
1575873,137346267
1575886,137346431
1575888,137346443
1575893,137346499
1575919,137346363
1575977,137346294
1576043,137346276
1576071,137346356
1576108,137346438
1576115,137346329
1576117,137346478
1576141,137346466
1576144,137346492
1576249,137346313
1576312,137346333
1576351,137346306
1576420,137346553
1576469,137346292
1576497,137346279
1576558,137346417
1576607,137346277
1576623,137488536
1576646,137488433
1576648,137488578
1576662,137488517
1576704,137488396
1576739,137488354
1576744,137488320
1576756,137488586
1576782,137488392
1576789,137488294
1576796,137488459
